time_from_start,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel,shoulder_pan_joint_acc,shoulder_lift_joint_acc,elbow_joint_acc,wrist_1_joint_acc,wrist_2_joint_acc,wrist_3_joint_acc,fk_x,fk_y,fk_z,fk_qx,fk_qy,fk_qz,fk_qw
0.000000,-1.600700,-1.727100,-2.203000,-0.808000,1.595100,-0.031000,-0.000500,-0.000118,0.000266,-0.000153,-0.000016,-0.000500,-0.500000,-0.117747,0.266023,-0.153303,-0.016306,-0.499706,-0.189632,-0.609684,0.260971,-0.000392,0.999843,0.012478,0.012536
0.100000,-1.603200,-1.727689,-2.201670,-0.808767,1.595018,-0.033499,-0.050000,-0.011775,0.026602,-0.015330,-0.001631,-0.049971,-0.500000,-0.117747,0.266023,-0.153303,-0.016306,-0.499706,-0.191186,-0.609861,0.261211,-0.000392,0.999844,0.012461,0.012527
0.200000,-1.610700,-1.729455,-2.197680,-0.811066,1.594774,-0.040994,-0.100000,-0.023549,0.053205,-0.030661,-0.003261,-0.099941,-0.500000,-0.117747,0.266023,-0.153303,-0.016306,-0.499706,-0.195861,-0.610367,0.261929,-0.000390,0.999845,0.012409,0.012500
0.300000,-1.623200,-1.732399,-2.191029,-0.814899,1.594366,-0.053487,-0.150000,-0.035324,0.079807,-0.045991,-0.004892,-0.149912,-0.500000,-0.117747,0.266023,-0.153303,-0.016306,-0.499706,-0.203693,-0.611125,0.263126,-0.000389,0.999846,0.012326,0.012453
0.400000,-1.640700,-1.736520,-2.181718,-0.820264,1.593796,-0.070976,-0.200000,-0.047099,0.106409,-0.061321,-0.006522,-0.199882,-0.500000,-0.117747,0.266023,-0.153303,-0.016306,-0.499706,-0.214741,-0.612006,0.264803,-0.000386,0.999849,0.012214,0.012389
0.500000,-1.661555,-1.741431,-2.170622,-0.826658,1.593115,-0.091819,-0.209440,-0.049322,0.111431,-0.064215,-0.006830,-0.209316,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.228026,-0.612777,0.266802,-0.000383,0.999851,0.012088,0.012312
0.600000,-1.682499,-1.746363,-2.159479,-0.833080,1.592432,-0.112751,-0.209440,-0.049322,0.111431,-0.064215,-0.006830,-0.209316,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.241492,-0.613240,0.268810,-0.000380,0.999853,0.011971,0.012234
0.700000,-1.703443,-1.751295,-2.148336,-0.839502,1.591749,-0.133682,-0.209440,-0.049322,0.111431,-0.064215,-0.006830,-0.209316,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.255074,-0.613388,0.270819,-0.000378,0.999856,0.011862,0.012158
0.800000,-1.724387,-1.756228,-2.137193,-0.845923,1.591066,-0.154614,-0.209440,-0.049322,0.111431,-0.064215,-0.006830,-0.209316,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.268766,-0.613215,0.272828,-0.000375,0.999858,0.011761,0.012082
0.900000,-1.745331,-1.761160,-2.126050,-0.852345,1.590383,-0.175545,-0.209440,-0.049322,0.111431,-0.064215,-0.006830,-0.209316,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.282558,-0.612716,0.274838,-0.000372,0.999860,0.011669,0.012008
1.000000,-1.766275,-1.766092,-2.114907,-0.858766,1.589700,-0.196477,-0.209440,-0.049322,0.111431,-0.064215,-0.006830,-0.209316,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.296443,-0.611888,0.276848,-0.000370,0.999862,0.011585,0.011935
1.100000,-1.787219,-1.771024,-2.103764,-0.865188,1.589017,-0.217409,-0.209440,-0.049322,0.111431,-0.064215,-0.006830,-0.209316,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.310413,-0.610726,0.278859,-0.000368,0.999863,0.011508,0.011864
1.200000,-1.808162,-1.775956,-2.092621,-0.871609,1.588334,-0.238340,-0.209440,-0.049322,0.111431,-0.064215,-0.006830,-0.209316,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.324459,-0.609226,0.280869,-0.000365,0.999865,0.011440,0.011796
1.300000,-1.829106,-1.780888,-2.081477,-0.878031,1.587651,-0.259272,-0.209440,-0.049322,0.111431,-0.064215,-0.006830,-0.209316,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.338573,-0.607385,0.282880,-0.000363,0.999866,0.011380,0.011729
1.400000,-1.850050,-1.785821,-2.070334,-0.884452,1.586968,-0.280204,-0.209440,-0.049322,0.111431,-0.064215,-0.006830,-0.209316,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.352746,-0.605198,0.284891,-0.000361,0.999868,0.011328,0.011666
1.500000,-1.870994,-1.790753,-2.059191,-0.890874,1.586285,-0.301135,-0.209440,-0.049322,0.111431,-0.064215,-0.006830,-0.209316,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.366970,-0.602664,0.286902,-0.000358,0.999869,0.011283,0.011606
