time_from_start,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos,shoulder_pan_joint_vel,shoulder_lift_joint_vel,elbow_joint_vel,wrist_1_joint_vel,wrist_2_joint_vel,wrist_3_joint_vel,shoulder_pan_joint_acc,shoulder_lift_joint_acc,elbow_joint_acc,wrist_1_joint_acc,wrist_2_joint_acc,wrist_3_joint_acc,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
0.000000,-2.365110,-1.547685,-1.787364,-1.412483,1.570481,-0.795068,-0.000500,0.000055,0.000146,-0.000188,-0.000006,-0.000500,-0.499955,0.054563,0.146220,-0.188016,-0.006211,-0.500000,-0.594618,-0.339938,0.562666,-0.000380,0.999846,0.012421,0.012429
0.100000,-2.367610,-1.547412,-1.786633,-1.413423,1.570450,-0.797568,-0.049995,0.005456,0.014622,-0.018802,-0.000621,-0.050000,-0.499955,0.054563,0.146220,-0.188016,-0.006211,-0.500000,-0.595433,-0.338414,0.563232,-0.000380,0.999846,0.012379,0.012426
0.200000,-2.375109,-1.546594,-1.784440,-1.416243,1.570357,-0.805068,-0.099991,0.010913,0.029244,-0.037603,-0.001242,-0.100000,-0.499955,0.054563,0.146220,-0.188016,-0.006211,-0.500000,-0.597852,-0.333826,0.564933,-0.000381,0.999848,0.012252,0.012417
0.300000,-2.387608,-1.545230,-1.780784,-1.420944,1.570201,-0.817568,-0.149986,0.016369,0.043866,-0.056405,-0.001863,-0.150000,-0.499955,0.054563,0.146220,-0.188016,-0.006211,-0.500000,-0.601798,-0.326134,0.567768,-0.000383,0.999851,0.012043,0.012400
0.400000,-2.405106,-1.543320,-1.775666,-1.427524,1.569984,-0.835068,-0.199982,0.021825,0.058488,-0.075206,-0.002485,-0.200000,-0.499955,0.054563,0.146220,-0.188016,-0.006211,-0.500000,-0.607138,-0.315271,0.571739,-0.000386,0.999854,0.011755,0.012370
0.500000,-2.425961,-1.541044,-1.769567,-1.435367,1.569725,-0.855924,-0.209440,0.022857,0.061254,-0.078763,-0.002602,-0.209459,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.613219,-0.302188,0.576477,-0.000389,0.999859,0.011418,0.012327
0.600000,-2.446905,-1.538758,-1.763442,-1.443243,1.569465,-0.876870,-0.209440,0.022857,0.061254,-0.078763,-0.002602,-0.209459,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.619013,-0.288906,0.581238,-0.000392,0.999863,0.011086,0.012275
0.700000,-2.467849,-1.536473,-1.757316,-1.451120,1.569205,-0.897816,-0.209440,0.022857,0.061254,-0.078763,-0.002602,-0.209459,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.624488,-0.275490,0.586002,-0.000395,0.999867,0.010761,0.012214
0.800000,-2.488793,-1.534187,-1.751191,-1.458996,1.568944,-0.918762,-0.209440,0.022857,0.061254,-0.078763,-0.002602,-0.209459,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.629641,-0.261946,0.590769,-0.000398,0.999872,0.010444,0.012145
0.900000,-2.509737,-1.531901,-1.745066,-1.466872,1.568684,-0.939708,-0.209440,0.022857,0.061254,-0.078763,-0.002602,-0.209459,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.634469,-0.248285,0.595539,-0.000400,0.999876,0.010135,0.012069
1.000000,-2.530681,-1.529615,-1.738940,-1.474749,1.568424,-0.960654,-0.209440,0.022857,0.061254,-0.078763,-0.002602,-0.209459,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.638969,-0.234513,0.600311,-0.000403,0.999880,0.009833,0.011985
1.100000,-2.551625,-1.527330,-1.732815,-1.482625,1.568164,-0.981600,-0.209440,0.022857,0.061254,-0.078763,-0.002602,-0.209459,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.643136,-0.220639,0.605085,-0.000406,0.999884,0.009540,0.011893
1.200000,-2.572568,-1.525044,-1.726689,-1.490501,1.567904,-1.002545,-0.209440,0.022857,0.061254,-0.078763,-0.002602,-0.209459,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.646970,-0.206673,0.609861,-0.000408,0.999888,0.009254,0.011795
1.300000,-2.593512,-1.522758,-1.720564,-1.498378,1.567643,-1.023491,-0.209440,0.022857,0.061254,-0.078763,-0.002602,-0.209459,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.650467,-0.192622,0.614638,-0.000411,0.999891,0.008977,0.011690
1.400000,-2.614456,-1.520472,-1.714438,-1.506254,1.567383,-1.044437,-0.209440,0.022857,0.061254,-0.078763,-0.002602,-0.209459,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.653625,-0.178495,0.619416,-0.000413,0.999895,0.008708,0.011579
1.500000,-2.635400,-1.518187,-1.708313,-1.514130,1.567123,-1.065383,-0.209440,0.022857,0.061254,-0.078763,-0.002602,-0.209459,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.656441,-0.164302,0.624195,-0.000415,0.999899,0.008448,0.011462
1.600000,-2.656344,-1.515901,-1.702188,-1.522006,1.566863,-1.086329,-0.209440,0.022857,0.061254,-0.078763,-0.002602,-0.209459,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.658915,-0.150050,0.628974,-0.000418,0.999902,0.008196,0.011339
1.700000,-2.677288,-1.513615,-1.696062,-1.529883,1.566603,-1.107275,-0.209440,0.022857,0.061254,-0.078763,-0.002602,-0.209459,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.661044,-0.135748,0.633753,-0.000420,0.999905,0.007954,0.011211
1.800000,-2.698232,-1.511329,-1.689937,-1.537759,1.566342,-1.128221,-0.209440,0.022857,0.061254,-0.078763,-0.002602,-0.209459,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.662827,-0.121407,0.638531,-0.000422,0.999909,0.007720,0.011078
1.900000,-2.719176,-1.509044,-1.683811,-1.545635,1.566082,-1.149166,-0.209440,0.022857,0.061254,-0.078763,-0.002602,-0.209459,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.664263,-0.107034,0.643309,-0.000424,0.999912,0.007496,0.010940
2.000000,-2.740120,-1.506758,-1.677686,-1.553512,1.565822,-1.170112,-0.209440,0.022857,0.061254,-0.078763,-0.002602,-0.209459,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.665351,-0.092638,0.648086,-0.000426,0.999915,0.007280,0.010798
2.100000,-2.761064,-1.504472,-1.671561,-1.561388,1.565562,-1.191058,-0.209440,0.022857,0.061254,-0.078763,-0.002602,-0.209459,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.666091,-0.078229,0.652861,-0.000428,0.999918,0.007074,0.010651
2.200000,-2.782008,-1.502187,-1.665435,-1.569264,1.565302,-1.212004,-0.209440,0.022857,0.061254,-0.078763,-0.002602,-0.209459,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.666481,-0.063816,0.657634,-0.000430,0.999921,0.006877,0.010501
2.300000,-2.802952,-1.499901,-1.659310,-1.577141,1.565041,-1.232950,-0.209440,0.022857,0.061254,-0.078763,-0.002602,-0.209459,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.666523,-0.049408,0.662406,-0.000432,0.999924,0.006690,0.010347
2.400000,-2.823896,-1.497615,-1.653184,-1.585017,1.564781,-1.253896,-0.209440,0.022857,0.061254,-0.078763,-0.002602,-0.209459,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.666216,-0.035013,0.667175,-0.000433,0.999927,0.006512,0.010190
2.500000,-2.844840,-1.495329,-1.647059,-1.592893,1.564521,-1.274842,-0.209440,0.022857,0.061254,-0.078763,-0.002602,-0.209459,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.665561,-0.020642,0.671941,-0.000435,0.999929,0.006343,0.010031
2.600000,-2.865784,-1.493044,-1.640934,-1.600770,1.564261,-1.295787,-0.209440,0.022857,0.061254,-0.078763,-0.002602,-0.209459,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.664557,-0.006302,0.676704,-0.000436,0.999932,0.006184,0.009869
