pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
-0.0337339,-0.750626,0.580758,-0.130519,0.990106,-0.0368455,-0.0360106
0.17824,-0.739122,0.646347,-0.245136,0.962542,-0.096799,-0.0636396
0.376843,-0.663626,0.713912,-0.349665,0.919574,-0.164664,-0.070737
0.551919,-0.521242,0.787736,-0.448095,0.859636,-0.239455,-0.0538376
0.663445,-0.346817,0.857205,-0.525831,0.793981,-0.304732,-0.0153159
0.716834,-0.138063,0.931347,-0.593217,0.716927,-0.363013,0.0482787
0.700583,0.0679935,1.00423,0.644247,-0.636679,0.403027,-0.130977
0.618543,0.254929,1.07771,0.681059,-0.553432,0.4197,-0.231785
0.613389,0.27671,1.07461,0.680763,-0.553888,0.411962,-0.245065
0.624201,0.278684,1.05945,0.675708,-0.567144,0.402051,-0.245195
0.676479,0.230864,1.00513,0.652565,-0.619262,0.378902,-0.217041
0.750977,0.118869,0.904036,-0.595044,0.712857,-0.330508,0.168884
0.789396,-0.00406981,0.810369,-0.524557,0.79365,-0.279862,0.128986
0.796024,-0.123321,0.726418,-0.446884,0.859097,-0.229832,0.0970794
0.770248,-0.259273,0.632725,-0.34345,0.921533,-0.168722,0.0659697
0.718315,-0.373505,0.551362,-0.238769,0.963759,-0.110893,0.0431435
0.641716,-0.474312,0.472918,-0.124252,0.990638,-0.050567,0.0252999
0.542999,-0.557044,0.397144,-0.000469517,0.999843,0.0124985,0.0125907
