time_from_start,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
0,-0.650824,-1.51304,-1.99497,-1.19931,1.6059,0.919121,0.389185,-0.51012,0.471738,-0.000470094,0.999843,0.0124243,0.0126564
0.1,-0.651943,-1.51243,-1.99405,-1.20105,1.60841,0.919386,0.388722,-0.510271,0.472515,0.000220701,0.99982,0.0134789,0.0133326
0.2,-0.655301,-1.51061,-1.9913,-1.20629,1.6159,0.92018,0.387328,-0.510719,0.474852,0.00229452,0.999741,0.0166393,0.0153668
0.3,-0.660897,-1.50756,-1.98672,-1.21501,1.6284,0.921504,0.384987,-0.511443,0.478766,0.00575543,0.999567,0.0218945,0.0187748
0.4,-0.668732,-1.5033,-1.9803,-1.22722,1.6459,0.923358,0.381676,-0.512408,0.484286,0.0106095,0.999238,0.0292256,0.0235827
0.5,-0.678805,-1.49782,-1.97205,-1.24292,1.6684,0.925741,0.377358,-0.513567,0.491451,0.0168638,0.998667,0.0386054,0.0298267
0.6,-0.691117,-1.49112,-1.96197,-1.26211,1.6959,0.928654,0.371993,-0.514856,0.500311,0.0245245,0.997742,0.0499971,0.0375526
0.7,-0.705092,-1.48351,-1.95053,-1.2839,1.72712,0.93196,0.365786,-0.516146,0.510502,0.0332367,0.996389,0.0628273,0.0464456
0.8,-0.719157,-1.47586,-1.93901,-1.30582,1.75854,0.935287,0.359418,-0.517257,0.520897,0.0420156,0.994702,0.0756274,0.0555258
0.9,-0.733222,-1.4682,-1.92749,-1.32774,1.78995,0.938615,0.352932,-0.518177,0.531427,0.0507981,0.992688,0.0883101,0.0647336
1,-0.747286,-1.46055,-1.91597,-1.34966,1.82137,0.941942,0.346331,-0.518904,0.542087,0.0595768,0.990348,0.100871,0.0740663
1.1,-0.761351,-1.45289,-1.90445,-1.37159,1.85278,0.94527,0.339618,-0.519434,0.552872,0.0683445,0.987682,0.113304,0.0835208
1.2,-0.775416,-1.44524,-1.89293,-1.39351,1.8842,0.948597,0.332798,-0.519766,0.563778,0.0770938,0.984689,0.125607,0.0930942
1.3,-0.789481,-1.43759,-1.88142,-1.41543,1.91562,0.951925,0.325873,-0.519897,0.574799,0.0858174,0.981371,0.137774,0.102783
1.4,-0.803546,-1.42993,-1.8699,-1.43736,1.94703,0.955253,0.318848,-0.519825,0.585931,0.094508,0.977728,0.149801,0.112585
1.5,-0.817611,-1.42228,-1.85838,-1.45928,1.97845,0.95858,0.311727,-0.519547,0.597168,0.103158,0.973761,0.161683,0.122497
1.6,-0.831676,-1.41462,-1.84686,-1.4812,2.00986,0.961908,0.304513,-0.51906,0.608505,0.111761,0.969472,0.173417,0.132514
1.7,-0.84574,-1.40697,-1.83534,-1.50313,2.04128,0.965235,0.29721,-0.518362,0.619936,0.120309,0.964861,0.184998,0.142634
1.8,-0.859805,-1.39932,-1.82382,-1.52505,2.0727,0.968563,0.289822,-0.517452,0.631456,0.128795,0.95993,0.196422,0.152853
1.9,-0.87387,-1.39166,-1.81231,-1.54697,2.10411,0.97189,0.282354,-0.516327,0.643059,0.137212,0.954681,0.207685,0.163168
2,-0.887935,-1.38401,-1.80079,-1.56889,2.13553,0.975218,0.27481,-0.514984,0.654739,0.145552,0.949116,0.218782,0.173575
2.1,-0.902,-1.37635,-1.78927,-1.59082,2.16694,0.978545,0.267194,-0.513423,0.66649,0.153809,0.943236,0.22971,0.184071
2.2,-0.916065,-1.3687,-1.77775,-1.61274,2.19836,0.981873,0.25951,-0.511639,0.678306,0.161975,0.937044,0.240466,0.194651
2.3,-0.930129,-1.36105,-1.76623,-1.63466,2.22978,0.9852,0.251762,-0.509632,0.690182,0.170043,0.930542,0.251045,0.205312
2.4,-0.944194,-1.35339,-1.75471,-1.65659,2.26119,0.988528,0.243957,-0.5074,0.70211,0.178006,0.923734,0.261443,0.216049
2.5,-0.958259,-1.34574,-1.7432,-1.67851,2.29261,0.991855,0.236097,-0.50494,0.714085,0.185857,0.916621,0.271658,0.22686
2.6,-0.972324,-1.33808,-1.73168,-1.70043,2.32402,0.995183,0.228188,-0.502251,0.7261,0.19359,0.909207,0.281684,0.23774
2.7,-0.986389,-1.33043,-1.72016,-1.72235,2.35544,0.99851,0.220235,-0.499331,0.738148,0.201197,0.901494,0.29152,0.248685
2.8,-1.00045,-1.32278,-1.70864,-1.74428,2.38685,1.00184,0.212242,-0.496178,0.750224,0.208671,0.893487,0.301162,0.25969
2.9,-1.01452,-1.31512,-1.69712,-1.7662,2.41827,1.00517,0.204215,-0.49279,0.76232,0.216007,0.885188,0.310605,0.270753
3,-1.02858,-1.30747,-1.68561,-1.78812,2.44969,1.00849,0.196159,-0.489167,0.77443,0.223197,0.876602,0.319848,0.281867
3.1,-1.04265,-1.29981,-1.67409,-1.81005,2.4811,1.01182,0.188078,-0.485306,0.786547,0.230235,0.867732,0.328887,0.29303
3.2,-1.05671,-1.29216,-1.66257,-1.83197,2.51252,1.01515,0.179979,-0.481205,0.798664,0.237114,0.858582,0.337719,0.304236
3.3,-1.07078,-1.28451,-1.65105,-1.85389,2.54393,1.01848,0.171866,-0.476865,0.810775,0.243827,0.849157,0.346341,0.315482
